,Município,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Alta Floresta D'Oeste,"14,94","19,99","24,20","47,95","11,88","3,71","36,71","18,14","17,24","20,96","20,69","8,38","44,76","16,42","28,66","12,38","29,08","15,55","42,88","35,19","3,92"
,Ariquemes,"75,91","56,37","46,24","35,51","61,25","74,64","58,94","77,81","57,54","56,45","62,12","60,69","85,13","95,86","47,59","62,25","80,87","62,21","50,55","47,89","57,60"
,Cabixi,"12,10","12,89",-,"25,61",-,-,-,"26,75","26,95",-,-,"30,42","14,76","14,94",-,-,-,-,-,-,"15,90"
,Cacoal,"16,46","17,63","34,91","23,95","17,14","20,27","41,68","34,78","20,94","25,00","35,33","17,07","26,83","20,34","25,44","16,46","17,65","17,47","17,33","27,51","26,17"
,Cerejeiras,"9,45","31,52","26,41",-,"10,67","38,86","16,74","16,86","11,62","46,07","17,43","24,55","17,87","12,03","52,85","17,71","35,60","16,63","16,65","11,12","33,41"
,Colorado do Oeste,"4,01","4,06","4,11","8,32","4,21","4,67","14,37","14,70","21,80","15,89","16,36","17,00","16,47","5,61","10,75","10,91","5,53",-,"15,79","10,63","10,73"
,Corumbiara,"8,87",-,-,-,"10,34","19,44",-,-,"42,50",-,-,"10,55",-,-,-,"46,22","11,72","22,13","11,19","22,62","45,72"
,Costa Marques,"35,84","35,19","38,58","9,06","34,15","37,46","30,24","58,51","42,62","70,49","34,09",-,"7,16",-,"43,80","7,13",-,"6,31","30,75","18,02","29,36"
,Espigão D'Oeste,"4,14","8,22","16,32","8,11","20,13","26,94","26,70","49,12","25,40","22,00","10,89","10,77","3,49","13,84","6,96","13,81","3,43","9,46","21,84","18,53","24,46"
,Guajará-Mirim,"21,89","23,85","18,02","22,58","17,13","20,68","5,10","20,14","11,88","16,88","7,13","17,74","22,20","2,45","26,41","19,08","23,70","15,30","25,97","12,87","29,76"
,Jaru,"18,70","29,30","27,40","46,68","34,18","45,16","36,80","32,91","24,89","19,70","14,22","3,81","22,24","24,10","19,21","23,13","23,18","34,17","52,09","28,71","43,01"
,Ji-Paraná,"16,78","34,87","48,96","24,64","23,73","34,30","33,12","39,24","33,50","30,24","42,31","33,43","31,61","40,54","3,43","5,11","6,77","14,06","23,21","22,24","33,44"
,Machadinho D'Oeste,"24,18","11,48","7,12","6,60","18,45","33,51","64,71","58,49","53,88","87,26","90,88","19,06","49,67","72,38","54,65","47,20","40,12","39,29","57,67","53,81","50,13"
,Nova Brasilândia D'Oeste,-,-,"6,56","6,59","6,62","17,43","51,92","22,91","38,88","11,20","5,55","11,65","16,99","11,30","15,12","20,12","40,22","9,33","41,84","23,16","50,76"
,Ouro Preto do Oeste,"15,31","22,18","46,90","39,56","24,77","22,04","36,73","17,15","17,18","26,99","24,55","30,52","16,15","24,51","39,54","13,26","37,35","9,98","29,99","7,51","22,59"
,Pimenta Bueno,"22,79","12,57","18,89","25,23","22,11","25,25","34,75","22,14","22,28","25,42","38,20","27,36","2,96","29,43","23,70","20,60","20,51","16,24","26,86","29,32","37,05"
,Porto Velho,"29,91","32,34","52,13","54,88","64,54","67,49","62,38","50,29","63,54","54,29","61,95","46,84","38,24","41,79","47,59","38,33","41,56","37,73","36,03","41,37","44,01"
,Presidente Médici,-,-,-,-,-,-,"19,52","19,50",-,-,"58,33",-,-,"15,72","31,40",-,"15,23",-,-,-,-
,Rio Crespo,"48,42",-,-,"97,50",-,"130,98","95,94","62,21","27,76","28,56","27,75","31,51",-,"30,40","150,78","59,77","59,28","27,28",-,"26,67",-
,Rolim de Moura,"9,11","20,53","22,85","18,31","20,63","23,06","31,18","16,52","12,02","10,10","14,03","6,14","7,96","15,84","17,76","7,86","19,55","19,87","35,84","14,22","22,94"
,Santa Luzia D'Oeste,"17,80","18,19","18,57","18,93","19,31",-,"34,93","8,79","18,07","26,91",-,-,-,-,-,-,"11,80","11,25","11,49",-,-
,Vilhena,"26,92","29,54","26,49","40,88","37,76","37,83","24,53","30,67","21,28","29,71","28,87","19,48","32,16","32,92","34,13","17,96","28,89","22,80","38,98","58,82","62,94"
,São Miguel do Guaporé,-,"5,14","21,78","16,16","22,59","19,95","42,37","22,28","12,83","3,32","19,23","8,84","4,29","25,86","22,91","9,14","18,24","16,90","25,21","20,89","20,78"
,Nova Mamoré,"14,66","13,47","6,26","17,63","11,08","12,75","42,78","29,24","49,18","46,16","49,16","61,43","64,67","49,25","66,51","64,81","25,30","22,88","37,14","25,36","31,85"
,Alvorada D'Oeste,"15,29","20,65","5,23","31,74","21,41","20,23","30,38","15,22","15,35","5,11","5,12","18,20","5,88","17,52","11,86","12,03","6,10","11,49","5,80","11,72","17,75"
,Alto Alegre dos Parecis,-,-,-,-,-,"22,81","44,48","43,32","12,95","26,60","25,88","34,44",-,-,"46,78","23,39","23,38","21,70",-,"35,87","14,29"
,Alto Paraíso,"27,22","28,72",-,-,"66,78",-,-,"27,63",-,"86,98",-,"30,75","30,55",-,"31,19","63,25",-,-,"64,18",-,"32,93"
